query,n,cout_opt,cout_when_cmax,cmax_opt,cmax_when_cout,bounded_cout_opt
../../queries/ceb-imdb-full/9a_596bb7c8a22790634b8f62d6857a34b9cc6735af.csv,9,8281,8281,3988,3988,8281
../../queries/ceb-imdb-full/8a_8a392.csv,12,169694,176948,89378,89378,169694
../../queries/ceb-imdb-full/2a_2a544.csv,11,279997,279997,94041,94041,279997
../../queries/ceb-imdb-full/1a_1a1607.csv,9,116135,144105,92328,93782,136478
../../queries/ceb-imdb-full/11b_b3e764c7b7c622962086e07893535a87f24bda5f.csv,12,65786,66666,17200,17200,65786
../../queries/ceb-imdb-full/1a_1a884.csv,9,279029,284655,252592,253013,284330
../../queries/ceb-imdb-full/9a_15afe6da7dd79229d8fb4ccf9591240c4f8cfa50.csv,9,34993,34993,18753,18753,34993
../../queries/ceb-imdb-full/9a_b2e1c555af36da3f172f4766f9cc5047d667b946.csv,9,103578,137661,32502,32502,103578
../../queries/ceb-imdb-full/1a_1a1161.csv,9,17113,17533,7795,7795,17113
../../queries/ceb-imdb-full/1a_1a2468.csv,9,478381,537129,272239,272391,492184
../../queries/ceb-imdb-full/2a_2a222.csv,11,66007,136032,33901,33901,66007
../../queries/ceb-imdb-full/11a_9a5894e1d10772dc80c261baaa1b6eb815979c11.csv,10,1449027,1518400,733215,733215,1449027
../../queries/ceb-imdb-full/3a_3a459.csv,10,298274,353979,150738,150738,298274
../../queries/ceb-imdb-full/3a_3a1098.csv,10,94458,94458,29184,29184,94458
../../queries/ceb-imdb-full/2a_2a236.csv,11,844872,844872,503008,503008,844872
../../queries/ceb-imdb-full/11a_84b38de89d047727227b94712539687f16a8ad43.csv,10,47942,52281,14667,14667,47942
../../queries/ceb-imdb-full/11a_40dcbb33d1806be5e5bdac05e21808e1cc43af34.csv,10,1042089,1421280,263858,263858,1042089
../../queries/ceb-imdb-full/1a_1a890.csv,9,165132,165132,106900,106900,165132
../../queries/ceb-imdb-full/9a_2ae61c393c03b92ffb6b6f9c5ce966a273c597ea.csv,9,231358,751239,179841,179841,231358
../../queries/ceb-imdb-full/2c_2c258.csv,9,171,228,115,115,171
../../queries/ceb-imdb-full/1a_1a1175.csv,9,351730,363238,316118,316118,351730
../../queries/ceb-imdb-full/1a_1a648.csv,9,18223,18223,11843,11843,18223
../../queries/ceb-imdb-full/9a_367ec8ab1c249cd2c53bab65feb6dc6242d14895.csv,9,512837,521940,234320,234320,512837
../../queries/ceb-imdb-full/1a_1a1613.csv,9,1550024,1569757,1167102,1199784,1553604
../../queries/ceb-imdb-full/8a_8a386.csv,12,124849,174944,64251,94013,164125
../../queries/ceb-imdb-full/10a_7bce00c34692ad3c8caba8f188efccc2b735d6b2.csv,7,217475,293848,128428,128428,217475
../../queries/ceb-imdb-full/9b_452ff8e1b52794e14a4499613e202d36a509828b.csv,9,28705,28705,22305,22305,28705
../../queries/ceb-imdb-full/7a_7a9.csv,16,87850,131211,38152,38152,87850
../../queries/ceb-imdb-full/2a_2a550.csv,11,1032454,1048548,592521,592521,1032454
