10 11 222
t mc ci mi1 cn ct kt n rt it
1 0 2 0 3 0 6 0 2 1 4 1 5 1 2 3 2 7 2 8 9 3
1 555675
2 2609129
4 36244344
8 5802702
16 58513
32 4
64 5
128 4167491
256 5
512 1
3 759422
5 7799610
9 1490161
65 216084
6 80274241
18 335276
34 2609129
12 224314770
132 36244344
260 7396522
520 1288928
7 18913520
11 8633930
19 104531
35 759422
67 434985
13 48068915
69 3629860
133 7799610
261 1186554
73 960800
521 331337
14 3303025428
22 8614295
38 80274241
134 80274241
262 22942386
50 335276
140 224314770
268 73727439
524 22320792
388 7396522
15 526039057
23 2246669
39 18913520
71 13192515
135 18913520
263 3335458
27 580788
43 8633930
75 7306665
523 716620
51 104531
83 39703
99 434985
77 37419713
141 48068915
269 9515098
525 5795912
197 3629860
325 554823
389 1186554
585 186890
30 142442651
46 3303025428
142 3303025428
270 1441676953
526 76564398
54 8614295
150 8614295
278 2192823
166 80274241
294 22942386
390 22942386
396 73727439
652 22320792
780 4634368
31 23186315
47 526039057
79 490243762
143 526039057
271 128697766
527 18648554
55 2246669
87 1062118
151 2246669
279 384258
103 13192515
167 18913520
295 3335458
199 13192515
327 2325653
391 3335458
59 580788
91 354374
539 99569
107 7306665
555 716620
587 429954
115 39703
205 37419713
333 7591423
589 3488592
397 9515098
653 5795912
781 895287
453 554823
62 142442651
158 142442651
286 54847581
542 8056303
174 3303025428
302 1441676953
558 76564398
398 1441676953
654 76564398
782 21777917
182 8614295
310 2192823
406 2192823
422 22942386
908 4634368
63 23186315
95 16950740
159 23186315
287 4719167
543 2190739
111 490243762
175 526039057
303 128697766
559 18648554
207 490243762
335 121979061
591 13454610
399 128697766
655 18648554
783 3276135
119 1062118
183 2246669
311 384258
215 1062118
343 168975
407 384258
231 13192515
359 2325653
423 3335458
455 2325653
123 354374
571 99569
603 39402
619 429954
461 7591423
717 3488592
845 527116
909 895287
190 142442651
318 54847581
574 8056303
414 54847581
670 8056303
798 2019411
430 1441676953
686 76564398
814 21777917
910 21777917
438 2192823
127 16950740
191 23186315
319 4719167
575 2190739
223 16950740
351 3632333
607 1077198
415 4719167
671 2190739
799 370676
239 490243762
367 121979061
623 13454610
431 128697766
687 18648554
815 3276135
463 121979061
719 13454610
847 2376654
911 3276135
247 1062118
375 168975
439 384258
471 168975
487 2325653
635 39402
973 527116
446 54847581
702 8056303
830 2019411
926 2019411
942 21777917
255 16950740
383 3632333
639 1077198
447 4719167
703 2190739
831 370676
479 3632333
735 1077198
863 172052
927 370676
495 121979061
751 13454610
879 2376654
943 3276135
975 2376654
503 168975
958 2019411
511 3632333
767 1077198
895 172052
959 370676
991 172052
1007 2376654
1023 172052
