9 9 89
t ci mi1 it1 kt n rt pi it2
1 0 2 0 4 0 1 2 1 5 1 6 3 2 5 7 8 7
1 543002
2 36244344
4 35855
8 1
16 3
32 27801
64 3
128 2963664
256 1
3 7585865
5 1192
17 478746
6 1770251
34 177494
66 3818735
12 35855
160 8754
384 100269
7 74977
19 6764785
35 44794
67 925542
13 1192
21 1148
14 1770251
38 10664
70 124089
98 19454
162 385985
416 321
15 74977
23 72377
39 458
71 4921
51 41343
83 827339
99 5533
163 109740
29 1148
46 10664
78 124089
102 923
166 25438
226 33371
418 8469
31 72377
47 458
79 4921
55 450
87 4728
103 46
167 2323
115 5070
179 98888
227 9436
419 5976
110 923
174 25438
230 1281
422 176
482 823
63 450
95 4728
111 46
175 2323
119 46
183 2291
231 135
423 88
243 8748
435 5480
483 638
238 1281
430 176
486 38
127 46
191 2291
239 135
431 88
247 135
439 87
487 14
499 579
494 38
255 135
447 87
495 14
503 14
511 14
