9 9 107
t ci mi1 mi2 it1 it2 kt n rt
1 0 2 0 3 0 6 0 1 7 1 8 2 3 4 2 5 3
3 7523550
5 68802
9 218027
65 29787
130 17580421
258 16678725
12 261878
20 304882
40 1000514
7 1780102
11 4310411
67 310238
131 4279116
259 3754586
13 65450
21 67261
69 6983
41 214536
73 21761
386 14031627
28 240189
44 237355
15 1934038
23 1680793
71 99417
135 1032799
263 891245
43 4075513
75 255821
139 2423968
267 2088575
195 164504
323 147036
387 3467899
29 48812
45 47208
77 17085
85 6722
105 21401
60 234965
31 1476529
47 1358515
79 135379
143 1132727
271 933083
87 98200
151 971854
279 842275
199 52612
327 46721
391 843349
107 253258
171 2281734
299 1975290
203 133020
331 118909
395 1926769
451 134825
61 45774
93 5055
109 4942
63 1263756
95 82963
159 854688
287 731149
111 81777
175 783393
303 674864
207 68149
335 38972
399 888501
215 51995
343 46603
407 795861
455 43910
235 131768
363 118367
427 1816995
459 107872
125 4693
127 80571
191 725698
319 628691
223 43541
351 38500
415 691669
239 43007
367 38195
431 637156
463 36212
471 43833
491 107467
255 42396
383 38077
447 592421
479 35902
495 35662
511 35585
1 538239
2 36244344
4 307553
8 1006423
16 1
32 1
64 2
128 1739579
256 2
